Title;AuthorID;PushIsherID;Pages;Dimension;Translator;Overview;InventoryQuantity;SalePrice;PublishedDate;isHidden
Dickens on the Tories - With an Introduction by F. G. Kitton (2020);Charles Dickens;Read Books Ltd;28;22.43x16.12x1.74 cm;;"""Dickens on the Tories” contains a collection of verse satires by Charles Dickens related to the Tory party of the United Kingdom, whom he despised and abhorred. Displeased with their return to power, he originally considered standing for the Liberals before writing ""The Fine Old English Gentleman"", ""The Quack Doctor's Proclamation"", and ""Subjects for Painters"" to vent his anger. Also includes: “The British Lion a New Song but an Old Story”, and “The Hymn of the Wiltshire Labourers” and an introductory chapter by F. G. Kitton. Charles John Huffam Dickens (1812–1870) was an English writer and social critic famous for having created some of the world's most well-known fictional characters. His works became unprecedentedly popular during his life, and today he is commonly regarded as the greatest Victorian-era novelist. Although perhaps better known for such works as “Oliver Twist” or “A Christmas Carol”, Dickens first gained success with the 1836 serial publication of “The Pickwick Papers”, which turned him almost overnight into an international literary celebrity thanks to his humour, satire, and astute observations concerning society and character.";23;8.19;2001-05-20;false
On Earth We're Briefly Gorgeous - A Novel (2021);Ocean Vuong;Penguin Random House;258;22.13x16.79x1.76 cm;;The instant New York Times Bestseller • Nominated for the 2019 National Book Award for Fiction “A lyrical work of self-discovery that’s shockingly intimate and insistently universal…Not so much briefly gorgeous as permanently stunning.” —Ron Charles, The Washington Post Ocean Vuong’s debut novel is a shattering portrait of a family, a first love, and the redemptive power of storytelling On Earth We’re Briefly Gorgeous is a letter from a son to a mother who cannot read. Written when the speaker, Little Dog, is in his late twenties, the letter unearths a family’s history that began before he was born — a history whose epicenter is rooted in Vietnam — and serves as a doorway into parts of his life his mother has never known, all of it leading to an unforgettable revelation. At once a witness to the fraught yet undeniable love between a single mother and her son, it is also a brutally honest exploration of race, class, and masculinity. Asking questions central to our American moment, immersed as we are in addiction, violence, and trauma, but undergirded by compassion and tenderness, On Earth We’re Briefly Gorgeous is as much about the power of telling one’s own story as it is about the obliterating silence of not being heard. With stunning urgency and grace, Ocean Vuong writes of people caught between disparate worlds, and asks how we heal and rescue one another without forsaking who we are. The question of how to survive, and how to make of it a kind of joy, powers the most important debut novel of many years. Named a Best Book of the Year by: GQ, Kirkus Reviews, Booklist, Library Journal, TIME, Esquire, The Washington Post, Apple, Good Housekeeping, The New Yorker, The New York Public Library, Elle.com, The Guardian, The A.V. Club, NPR, Lithub, Entertainment Weekly, Vogue.com, The San Francisco Chronicle, Mother Jones, Vanity Fair, The Wall Street Journal Magazine and more!;12;8.01;2001-06-21;false
Chainsaw Man, Vol. 5 - Minor (2021);Tatsuki Fujimoto;VIZ Media LLC;201;22.17x14.02x2.48 cm;Amanda Haley;It’s Chainsaw vs. Sword as the bloody battle for Denji’s heart heats up. Denji is going to have to pull out all the stops against this crafty opponent. And when the dust settles, how will Special Division 4 move on from their losses? -- VIZ Media;45;7.47;2001-06-21;false
Don't Marry Him (2023);J. Sterling;J. Sterling;121;23.84x14.90x1.24 cm;;When love is all you have, how do you protect it from those who want to take it from you? I've loved Dove Tryst my whole life. Best friends since childhood, I always knew that we'd end up together. I never thought anything, or anyone, could tear us apart. Even when we hated eachother, our love remained. But now, she's engaged to my enemy and I'm trying to figure out where it all went wrong. And how. She's days away from walking down the aisle toward a man who isn't me and she refuses to tell me why. But Dove has asked me one very important thing... to object. I know what I have to do, but my actions will come with consequences that would break most men. Good thing I'm not most men. That woman owns my heart and I'll do whatever it takes to protect her. NYT Best-selling author, J. Sterling, delivers a gripping romance about love and the lengths we'd go to keep it.;35;6.69;2001-06-23;false
One Piece, Vol. 83 - Emperor of the Sea, Charlotte Linlin (2017);Eiichiro Oda;VIZ Media LLC;209;22.78x15.81x2.38 cm;;Luffy and crew land on Whole Cake Island to take back Sanji! Meanwhile, the preparations continue for Sanji’s wedding—including the arrival of the groom’s family! It’s gonna take more than luck for the Straw Hats to survive against the forces of Big Mom and rescue their crewmate! -- VIZ Media;25;7.12;2001-08-17;false
Flirting with Sunshine (2023);J. Sterling;J. Sterling;65;24.34x13.01x1.93 cm;;"After finding out that her husband was cheating on her, Ava Starling packed her things and never looked back. She always planned on coming home to run her family's seafood restaurant, but she never expected that she'd be doing it alone. Ava was finally in a good place; healing, no longer angry, peaceful and content. At least that's what she told herself. Until a grumpy fisherman showed up out of nowhere like an unexpected storm. Tony Garcia had been running... from his past, from his future, from himself. When he settled in Port Rufton, the last thing he expected was someone like Ava. He'd closed himself off from everyone, convinced that he was better off alone. He tried his best to keep her at arms length, but women like Ava refused to be ignored. Can he have a future with someone new when he's still stuck in the past?";35;7.27;2001-08-23;false
Wild Cards XI: Dealer's Choice - Book Three of the Rox Triad (2020);George R. R. Martin;Tor Books;386;23.32x13.16x1.28 cm;;Soon to be a TV show! Rights to develop Wild Cards for TV have been acquired by Universal Cable Productions, the team that brought you The Magicians and Mr. Robot, with the co-editor of Wild Cards, Melinda Snodgrass as executive producer. After too many disastrous raids and military embarrassments, the Nats order a full-out, no-holds-barred blitzkrieg against Bloat and his genetic outcasts. The mission is clear: destroy Ellis Island, no survivors. As the final battle rages, the Turtle throws in the towel, Modular Man switches sides, Reflector faces defeat, Legion “dies”—and assassins reach Bloat’s chamber. This is it, folks. The final days of the Rox. The Wild Cards series explodes into apocalyptic battle action, edited by #1 New York Times bestselling author George R. R. Martin and Melinda M. Snodgrass, featuring the writing talents of Edward W. Bryant, Stephen Leigh, John Jos. Miller, George R. R. Martin and Walter Jon Williams. The Wild Cards Universe The Original Triad #1 Wild Cards #2 Aces High #3 Jokers Wild The Puppetman Quartet #4: Aces Abroad #5: Down and Dirty #6: Ace in the Hole #7: Dead Man’s Hand The Rox Triad #8: One-Eyed Jacks #9: Jokertown Shuffle #10: Double Solitaire #11: Dealer's Choice #12: Turn of the Cards The Card Sharks Triad #13: Card Sharks #14: Marked Cards #15: Black Trump #16: Deuces Down #17: Death Draws Five The Committee Triad #18: Inside Straight #19: Busted Flush #20: Suicide Kings American Hero (ebook original) The Fort Freak Triad #21: Fort Freak #22: Lowball #23: High Stakes The American Triad #24: Mississippi Roll #25: Low Chicago #26: Texas Hold 'Em #27: Knaves Over Queens At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.;23;9.31;2001-09-20;false
The Complete Hard Case Crime Stephen King Collection (2021);Stephen King;National Geographic Books;0;22.85x13.91x1.89 cm;;The Complete Hard Case Crime Stephen King Collection, featuring the bestselling titles The Colorado Kid, Joyland, and his newest novel, Later, plus exclusive art cards. Collecting Stephen King's three homages to the classic crime pulp paperbacks, published by Hard Case Crime. This includes The Colorado Kid (2005), Joyland (2013) and Later (2021). It will also feature three exclusive art cards with alternate cover artwork for the three novels. Set in a small-town North Carolina amusement park in 1973, Joyland tells the story of the summer in which college student Devin Jones comes to work in a fairground and confronts the legacy of a vicious murder, the fate of a dying child, and the ways both will change his life forever. A rookie newspaperwoman learns the true meaning of mystery when she investigates a 25-year-old unsolved and very strange case involving a dead man found on an island off the coast of Maine. The son of a struggling single mother, Jamie Conklin just wants an ordinary childhood. But Jamie is no ordinary child. Born with an unnatural ability, Jamie can see things no one else can. But the cost of using this ability is higher than Jamie can imagine - as he discovers when an NYPD detective draws him into the pursuit of a killer who has threatened to strike from beyond the grave.;4;8.05;2001-09-21;false
Falling for the Boss (2022);J. Sterling;J. Sterling;0;22.06x16.10x1.68 cm;;Joseph has been my best friends' boss for years. So when she comes to me, with this half baked idea of me posing as his girlfriend to help him out, I'm tempted to tell her to take a hike. But then she begs. And pleads. And says that he'll pay off my med school bills and... you guessed it, I cave. Even though I hate him. Even though we apparently hate eachother (i'm not the one who didn't anything wrong, mind you). But things aren't always how they seem and the guy I thought I couldn't stand, I suddenly find myself falling for. It was supposed to be fake. An arrangement with no strings attached. So why can't I stop wanting more?;14;6.56;2001-09-22;false
100 Reasons to Love Reading (2020);Scholastic;Scholastic Inc.;267;22.30x13.43x1.37 cm;;We all have a reason to love reading. Reading opens your mind.Reading is a shared journey.Reading builds bridges.Reading is an act of faith.Reading can take you to a place called hope.In honor of Scholastic's 100th Anniversary, it asked a hundred of its authors and illustrators to answer the question: What's a reason you love reading? The response is a dazzling collection that gets to the heart of why books matter so much, to so many people. Whether they are remembering a book that meant the world to them or conjuring the magical way that books took them to worlds far beyond their own, these authors show us with exuberance, insight, and humor how the joys of reading are often inseparable from the joys of life itself.;2;11.43;2001-10-20;false
One Piece, Vol. 95 - Oden's Adventure (2020);Eiichiro Oda;VIZ Media LLC;202;22.48x14.28x2.24 cm;;Kaido is already the strongest creature in the world—and he’s about to form an alliance that would make his Animal Kingdom pirates even more powerful!! Meanwhile, Luffy and the Straw Hats continue to recruit members to their side. But unbeknownst to them, the balance of power in the world is beginning to change... -- VIZ Media;28;10.83;2001-12-20;false
Chainsaw Man, Vol. 2 - CHAINSAW vs. BAT (2020);Tatsuki Fujimoto;VIZ Media LLC;193;24.96x13.99x1.24 cm;Amanda Haley;In order to achieve the greatest goal in human history—to touch a boob—Denji will risk everything in a fight against the dangerous Bat Devil. But will getting what he wants actually make him happy...? -- VIZ Media;18;8.61;2001-12-20;false
Chainsaw Man, Vol. 2 (2020);Tatsuki Fujimoto;VIZ Media LLC;192;24.94x14.71x2.30 cm;Amanda Haley;"Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! Now that Denji has found the noble goal in life of ""touching a boob,"" the rest is easy! He just needs to defeat a gigantic bat monster before he bleeds to death. Never underestimate a motivated Chainsaw Man! But will all his sacrifices actually be worth it…?";12;10.36;2001-12-20;false
Christmas with Saint (2022);J. Sterling;J. Sterling;82;23.99x14.67x1.80 cm;;Ivy~ I've been in love with Saint my whole life. At least that's how it feels. He's never looked at me as anything more than his best friend's little sister. Being stuck in the friend zone is my literal nightmare when it comes to him and I want out. Saint~ Ivy has no idea the way I see her. It kills me that she thinks I don't want her the same way she wants me. But I made a promise to her brother. One I knew I'd end up breaking at some point. Can I get the girl without losing my best friend in the process? It's time to find out.;20;6.34;2001-12-22;false
Disney Baby: Peek a Boo, Thumper! (2024);Disney Books;Penguin Random House;0;22.36x16.75x1.48 cm;;;24;7.19;2002-01-24;false
One Piece, Vol. 77 - Smile (2016);Eiichiro Oda;VIZ Media LLC;229;24.85x13.78x2.04 cm;;Thirteen years ago, Trafalgar Law was a young boy with an incurable, deadly illness. He credits his survival to Corazon, but what exactly happened? The secrets of Law's past are finally revealed. Meanwhile, back in the present, the battle for Dressrosa continues to heat up! -- VIZ Media;19;8.15;2002-02-16;false
Chainsaw Man, Vol. 3 - Kill Denji (2021);Tatsuki Fujimoto;VIZ Media LLC;193;23.06x16.56x2.49 cm;Amanda Haley;A mysterious devil is demanding Denji’s heart! But will the devil hunters from Division 4 agree to this deal to save themselves? Or will Denji have to do what Denji does best—turn into a chainsaw and carve up everything that gets in his way?! -- VIZ Media;38;8.12;2002-02-21;false
Chainsaw Man, Vol. 3 (2021);Tatsuki Fujimoto;VIZ Media LLC;192;23.06x15.02x1.17 cm;Amanda Haley;Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! A mysterious devil is demanding Denji’s heart! Will the devil hunters from Division 4 agree to this deal to save themselves? Or will Denji have to do what Denji does best—turn into a chainsaw and slice up everything that gets in his way?;50;8.11;2002-02-21;false
Scholastic Success with Writing Grade 1 (2022);Scholastic;Scholastic Inc.;48;23.38x14.86x2.00 cm;;High-interest topics and engaging exercises designed to stimulate and encourage children as they develop the necessary skills to become independent writers. Includes strategies with grade-appropriate skills that can be used in daily writing assignments such as journals, stories, and letters!;26;11.25;2002-02-22;false
Penguin Readers Level 3: Sherlock Holmes Short Stories (ELT Graded Reader) (2023);Arthur Conan Doyle;Penguin Random House;69;24.12x13.14x1.76 cm;;Penguin Readers is an ELT graded reader series for learners of English as a foreign language. With carefully adapted text, new illustrations and language learning exercises, the print edition also includes instructions to access supporting material online. Titles include popular classics, exciting contemporary fiction, and thought-provoking non-fiction, introducing language learners to bestselling authors and compelling content. The eight levels of Penguin Readers follow the Common European Framework of Reference for language learning (CEFR). Exercises at the back of each Reader help language learners to practise grammar, vocabulary, and key exam skills. Before, during and after-reading questions test readers' story comprehension and develop vocabulary. The Adventures of Sherlock Holmes, a Level 3 Reader, is A2 in the CEFR framework. The text is made up of sentences with up to three clauses, introducing first conditional, past continuous and present perfect simple for general experience. It is well supported by illustrations, which appear on most pages. From finding a diamond in a bird's stomach, to stealing a racehorse - in these four stories, the famous detective Sherlock Holmes works with his friend Dr Watson. Holmes understands people and he finds many clues. But will he solve the crimes? Visit the Penguin Readers website Exclusively with the print edition, readers can unlock online resources including a digital book, audio edition, lesson plans and answer keys.;16;9.83;2002-02-23;false
Avem Occidere Mimicam - To Kill a Mockingbird Translated into Latin for the First Time by Andrew Wilson (2019);Harper Lee;HarperCollins;320;23.32x14.22x1.67 cm;;"Voted ""America’s Best-Loved Novel"" by The Great American Read series, PBS Harper Lee’s beloved Pulitzer Prize-winning classic novel To Kill a Mockingbird, now translated into Latin. “Shoot all the bluejays you want, if you can hit ’em, but remember it’s a sin to kill a mockingbird.” A haunting portrait of race and class, innocence and injustice, hypocrisy and heroism, tradition and transformation in the Deep South of the 1930s, Harper Lee’s To Kill a Mockingbird remains as important today as it was upon its initial publication in 1960, during the turbulent years of the Civil Rights movement. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of young Scout, as her father Atticus Finch, a crusading local lawyer, risks everything to defend a black man unjustly accused of a terrible crime. Now, this most beloved and acclaimed novel is retold in this beautiful Latin language edition, translated by Andrew Wilson.";41;7;2002-04-19;false
